id,price,time
1,65,2017-6-3 2:2:16
2,6,2019-10-28 1:30:23
3,69,2018-7-8 21:60:44
4,82,2015-3-7 16:23:11
5,97,2018-6-25 8:53:11
6,71,2017-12-17 19:2:36
7,51,2016-5-17 1:38:39
8,50,2018-5-15 1:49:17
9,75,2015-5-6 3:50:26
10,20,2017-10-24 19:27:29
11,13,2017-5-25 4:20:5
12,7,2017-7-19 16:51:32
13,35,2016-9-23 11:54:52
14,82,2016-9-12 19:11:30
15,72,2015-7-12 11:35:58
16,42,2019-11-21 13:13:22
17,35,2019-6-22 5:50:30
18,33,2015-8-17 2:6:24
19,47,2019-7-5 23:19:7
20,92,2017-2-13 11:13:44
21,26,2016-6-17 17:44:22
22,69,2015-8-14 8:9:16
23,50,2019-3-9 15:6:32
24,72,2015-8-19 4:45:42
25,96,2017-1-15 5:57:25
26,2,2017-5-2 12:24:48
27,40,2019-11-13 6:15:56
28,33,2018-6-27 1:25:26
29,84,2017-2-16 11:39:43
30,66,2015-7-25 23:50:13
31,26,2015-5-7 4:31:3
32,62,2017-3-21 13:45:24
33,43,2019-5-5 15:60:1
34,11,2015-4-9 22:31:38
35,14,2015-10-27 0:7:6
36,2,2016-1-19 19:37:48
37,36,2016-5-18 21:23:14
38,83,2015-9-7 18:9:49
39,30,2019-6-14 1:38:31
40,44,2016-11-23 6:35:21
41,22,2016-11-20 21:12:57
42,36,2017-12-2 12:15:31
43,58,2016-10-2 23:41:34
44,48,2015-12-21 1:46:13
45,94,2016-3-13 19:36:53
46,7,2016-11-12 20:22:35
47,32,2015-9-7 0:13:15
48,97,2016-8-19 11:9:1
49,89,2016-4-25 18:13:17
50,11,2016-2-10 4:25:44
51,26,2018-3-21 23:58:53
52,69,2016-7-24 1:43:47
53,65,2018-4-26 1:58:35
54,82,2017-5-25 4:57:18
55,18,2019-9-27 23:10:50
56,70,2015-12-28 6:48:9
57,48,2016-5-25 4:48:16
58,59,2019-9-17 22:44:49
59,88,2016-7-13 22:51:24
60,57,2019-11-18 22:45:56
61,98,2017-9-23 3:27:19
62,76,2015-3-27 21:24:34
63,74,2016-11-25 5:9:50
64,98,2018-4-18 21:5:29
65,28,2018-4-3 14:16:5
66,58,2016-9-11 20:43:11
67,99,2017-1-26 18:1:7
68,18,2019-5-6 6:51:27
69,56,2019-3-11 20:14:7
70,100,2018-1-2 13:37:21
71,44,2015-7-6 9:6:43
